# role	kind	method	expected_disposition  (generated: independent restatement of the allowlist rules; BOTH kinds for every pinned method; drift vs codex_broker::allowlist::disposition fails the exhaustiveness test)
Tui	Request	command/exec/resize	Refuse(NotAllowlisted)
Tui	Notification	command/exec/resize	Refuse(NotAllowlisted)
Ccd	Request	command/exec/resize	Refuse(NotAllowlisted)
Ccd	Notification	command/exec/resize	Refuse(NotAllowlisted)
Tui	Request	command/exec/terminate	Refuse(NotAllowlisted)
Tui	Notification	command/exec/terminate	Refuse(NotAllowlisted)
Ccd	Request	command/exec/terminate	Refuse(NotAllowlisted)
Ccd	Notification	command/exec/terminate	Refuse(NotAllowlisted)
Tui	Request	command/exec/write	Refuse(NotAllowlisted)
Tui	Notification	command/exec/write	Refuse(NotAllowlisted)
Ccd	Request	command/exec/write	Refuse(NotAllowlisted)
Ccd	Notification	command/exec/write	Refuse(NotAllowlisted)
Tui	Request	config/batchWrite	Refuse(NotAllowlisted)
Tui	Notification	config/batchWrite	Refuse(NotAllowlisted)
Ccd	Request	config/batchWrite	Refuse(NotAllowlisted)
Ccd	Notification	config/batchWrite	Refuse(NotAllowlisted)
Tui	Request	config/mcpServer/reload	Refuse(NotAllowlisted)
Tui	Notification	config/mcpServer/reload	Refuse(NotAllowlisted)
Ccd	Request	config/mcpServer/reload	Refuse(NotAllowlisted)
Ccd	Notification	config/mcpServer/reload	Refuse(NotAllowlisted)
Tui	Request	config/read	Refuse(NotAllowlisted)
Tui	Notification	config/read	Refuse(NotAllowlisted)
Ccd	Request	config/read	Refuse(NotAllowlisted)
Ccd	Notification	config/read	Refuse(NotAllowlisted)
Tui	Request	config/value/write	Refuse(NotAllowlisted)
Tui	Notification	config/value/write	Refuse(NotAllowlisted)
Ccd	Request	config/value/write	Refuse(NotAllowlisted)
Ccd	Notification	config/value/write	Refuse(NotAllowlisted)
Tui	Request	configRequirements/read	Forward
Tui	Notification	configRequirements/read	Refuse(NotAllowlisted)
Ccd	Request	configRequirements/read	Refuse(NotAllowlisted)
Ccd	Notification	configRequirements/read	Refuse(NotAllowlisted)
Tui	Request	environment/add	Refuse(NotAllowlisted)
Tui	Notification	environment/add	Refuse(NotAllowlisted)
Ccd	Request	environment/add	Refuse(NotAllowlisted)
Ccd	Notification	environment/add	Refuse(NotAllowlisted)
Tui	Request	environment/info	Refuse(NotAllowlisted)
Tui	Notification	environment/info	Refuse(NotAllowlisted)
Ccd	Request	environment/info	Refuse(NotAllowlisted)
Ccd	Notification	environment/info	Refuse(NotAllowlisted)
Tui	Request	environment/status	Refuse(NotAllowlisted)
Tui	Notification	environment/status	Refuse(NotAllowlisted)
Ccd	Request	environment/status	Refuse(NotAllowlisted)
Ccd	Notification	environment/status	Refuse(NotAllowlisted)
Tui	Request	experimentalFeature/enablement/set	Refuse(NotAllowlisted)
Tui	Notification	experimentalFeature/enablement/set	Refuse(NotAllowlisted)
Ccd	Request	experimentalFeature/enablement/set	Refuse(NotAllowlisted)
Ccd	Notification	experimentalFeature/enablement/set	Refuse(NotAllowlisted)
Tui	Request	experimentalFeature/list	Refuse(NotAllowlisted)
Tui	Notification	experimentalFeature/list	Refuse(NotAllowlisted)
Ccd	Request	experimentalFeature/list	Refuse(NotAllowlisted)
Ccd	Notification	experimentalFeature/list	Refuse(NotAllowlisted)
Tui	Request	externalAgentConfig/detect	Refuse(NotAllowlisted)
Tui	Notification	externalAgentConfig/detect	Refuse(NotAllowlisted)
Ccd	Request	externalAgentConfig/detect	Refuse(NotAllowlisted)
Ccd	Notification	externalAgentConfig/detect	Refuse(NotAllowlisted)
Tui	Request	externalAgentConfig/import	Refuse(NotAllowlisted)
Tui	Notification	externalAgentConfig/import	Refuse(NotAllowlisted)
Ccd	Request	externalAgentConfig/import	Refuse(NotAllowlisted)
Ccd	Notification	externalAgentConfig/import	Refuse(NotAllowlisted)
Tui	Request	externalAgentConfig/import/readHistories	Refuse(NotAllowlisted)
Tui	Notification	externalAgentConfig/import/readHistories	Refuse(NotAllowlisted)
Ccd	Request	externalAgentConfig/import/readHistories	Refuse(NotAllowlisted)
Ccd	Notification	externalAgentConfig/import/readHistories	Refuse(NotAllowlisted)
Tui	Request	externalAgentConfig/import/recordHistory	Refuse(NotAllowlisted)
Tui	Notification	externalAgentConfig/import/recordHistory	Refuse(NotAllowlisted)
Ccd	Request	externalAgentConfig/import/recordHistory	Refuse(NotAllowlisted)
Ccd	Notification	externalAgentConfig/import/recordHistory	Refuse(NotAllowlisted)
Tui	Request	feedback/upload	Refuse(NotAllowlisted)
Tui	Notification	feedback/upload	Refuse(NotAllowlisted)
Ccd	Request	feedback/upload	Refuse(NotAllowlisted)
Ccd	Notification	feedback/upload	Refuse(NotAllowlisted)
Tui	Request	fs/copy	Refuse(NotAllowlisted)
Tui	Notification	fs/copy	Refuse(NotAllowlisted)
Ccd	Request	fs/copy	Refuse(NotAllowlisted)
Ccd	Notification	fs/copy	Refuse(NotAllowlisted)
Tui	Request	fs/createDirectory	Refuse(NotAllowlisted)
Tui	Notification	fs/createDirectory	Refuse(NotAllowlisted)
Ccd	Request	fs/createDirectory	Refuse(NotAllowlisted)
Ccd	Notification	fs/createDirectory	Refuse(NotAllowlisted)
Tui	Request	fs/getMetadata	Refuse(NotAllowlisted)
Tui	Notification	fs/getMetadata	Refuse(NotAllowlisted)
Ccd	Request	fs/getMetadata	Refuse(NotAllowlisted)
Ccd	Notification	fs/getMetadata	Refuse(NotAllowlisted)
Tui	Request	fs/readDirectory	Refuse(NotAllowlisted)
Tui	Notification	fs/readDirectory	Refuse(NotAllowlisted)
Ccd	Request	fs/readDirectory	Refuse(NotAllowlisted)
Ccd	Notification	fs/readDirectory	Refuse(NotAllowlisted)
Tui	Request	fs/readFile	Refuse(NotAllowlisted)
Tui	Notification	fs/readFile	Refuse(NotAllowlisted)
Ccd	Request	fs/readFile	Refuse(NotAllowlisted)
Ccd	Notification	fs/readFile	Refuse(NotAllowlisted)
Tui	Request	fs/remove	Refuse(NotAllowlisted)
Tui	Notification	fs/remove	Refuse(NotAllowlisted)
Ccd	Request	fs/remove	Refuse(NotAllowlisted)
Ccd	Notification	fs/remove	Refuse(NotAllowlisted)
Tui	Request	fs/unwatch	Refuse(NotAllowlisted)
Tui	Notification	fs/unwatch	Refuse(NotAllowlisted)
Ccd	Request	fs/unwatch	Refuse(NotAllowlisted)
Ccd	Notification	fs/unwatch	Refuse(NotAllowlisted)
Tui	Request	fs/watch	Refuse(NotAllowlisted)
Tui	Notification	fs/watch	Refuse(NotAllowlisted)
Ccd	Request	fs/watch	Refuse(NotAllowlisted)
Ccd	Notification	fs/watch	Refuse(NotAllowlisted)
Tui	Request	fs/writeFile	Refuse(CodeExecBypass)
Tui	Notification	fs/writeFile	Refuse(NotAllowlisted)
Ccd	Request	fs/writeFile	Refuse(CodeExecBypass)
Ccd	Notification	fs/writeFile	Refuse(NotAllowlisted)
Tui	Request	fuzzyFileSearch	Refuse(NotAllowlisted)
Tui	Notification	fuzzyFileSearch	Refuse(NotAllowlisted)
Ccd	Request	fuzzyFileSearch	Refuse(NotAllowlisted)
Ccd	Notification	fuzzyFileSearch	Refuse(NotAllowlisted)
Tui	Request	fuzzyFileSearch/sessionStart	Refuse(NotAllowlisted)
Tui	Notification	fuzzyFileSearch/sessionStart	Refuse(NotAllowlisted)
Ccd	Request	fuzzyFileSearch/sessionStart	Refuse(NotAllowlisted)
Ccd	Notification	fuzzyFileSearch/sessionStart	Refuse(NotAllowlisted)
Tui	Request	fuzzyFileSearch/sessionStop	Refuse(NotAllowlisted)
Tui	Notification	fuzzyFileSearch/sessionStop	Refuse(NotAllowlisted)
Ccd	Request	fuzzyFileSearch/sessionStop	Refuse(NotAllowlisted)
Ccd	Notification	fuzzyFileSearch/sessionStop	Refuse(NotAllowlisted)
Tui	Request	fuzzyFileSearch/sessionUpdate	Refuse(NotAllowlisted)
Tui	Notification	fuzzyFileSearch/sessionUpdate	Refuse(NotAllowlisted)
Ccd	Request	fuzzyFileSearch/sessionUpdate	Refuse(NotAllowlisted)
Ccd	Notification	fuzzyFileSearch/sessionUpdate	Refuse(NotAllowlisted)
Tui	Request	hooks/list	Forward
Tui	Notification	hooks/list	Refuse(NotAllowlisted)
Ccd	Request	hooks/list	Refuse(NotAllowlisted)
Ccd	Notification	hooks/list	Refuse(NotAllowlisted)
Tui	Request	initialize	Forward
Tui	Notification	initialize	Refuse(NotAllowlisted)
Ccd	Request	initialize	Forward
Ccd	Notification	initialize	Refuse(NotAllowlisted)
Tui	Request	initialized	Refuse(NotAllowlisted)
Tui	Notification	initialized	Forward
Ccd	Request	initialized	Refuse(NotAllowlisted)
Ccd	Notification	initialized	Forward
Tui	Request	marketplace/add	Refuse(NotAllowlisted)
Tui	Notification	marketplace/add	Refuse(NotAllowlisted)
Ccd	Request	marketplace/add	Refuse(NotAllowlisted)
Ccd	Notification	marketplace/add	Refuse(NotAllowlisted)
Tui	Request	marketplace/remove	Refuse(NotAllowlisted)
Tui	Notification	marketplace/remove	Refuse(NotAllowlisted)
Ccd	Request	marketplace/remove	Refuse(NotAllowlisted)
Ccd	Notification	marketplace/remove	Refuse(NotAllowlisted)
Tui	Request	marketplace/upgrade	Refuse(NotAllowlisted)
Tui	Notification	marketplace/upgrade	Refuse(NotAllowlisted)
Ccd	Request	marketplace/upgrade	Refuse(NotAllowlisted)
Ccd	Notification	marketplace/upgrade	Refuse(NotAllowlisted)
Tui	Request	mcpServer/oauth/login	Refuse(NotAllowlisted)
Tui	Notification	mcpServer/oauth/login	Refuse(NotAllowlisted)
Ccd	Request	mcpServer/oauth/login	Refuse(NotAllowlisted)
Ccd	Notification	mcpServer/oauth/login	Refuse(NotAllowlisted)
Tui	Request	mcpServer/resource/read	Refuse(NotAllowlisted)
Tui	Notification	mcpServer/resource/read	Refuse(NotAllowlisted)
Ccd	Request	mcpServer/resource/read	Refuse(NotAllowlisted)
Ccd	Notification	mcpServer/resource/read	Refuse(NotAllowlisted)
Tui	Request	mcpServer/tool/call	Refuse(NotAllowlisted)
Tui	Notification	mcpServer/tool/call	Refuse(NotAllowlisted)
Ccd	Request	mcpServer/tool/call	Refuse(NotAllowlisted)
Ccd	Notification	mcpServer/tool/call	Refuse(NotAllowlisted)
Tui	Request	mcpServerStatus/list	Refuse(NotAllowlisted)
Tui	Notification	mcpServerStatus/list	Refuse(NotAllowlisted)
Ccd	Request	mcpServerStatus/list	Refuse(NotAllowlisted)
Ccd	Notification	mcpServerStatus/list	Refuse(NotAllowlisted)
Tui	Request	memory/reset	Refuse(NotAllowlisted)
Tui	Notification	memory/reset	Refuse(NotAllowlisted)
Ccd	Request	memory/reset	Refuse(NotAllowlisted)
Ccd	Notification	memory/reset	Refuse(NotAllowlisted)
Tui	Request	mock/experimentalMethod	Refuse(NotAllowlisted)
Tui	Notification	mock/experimentalMethod	Refuse(NotAllowlisted)
Ccd	Request	mock/experimentalMethod	Refuse(NotAllowlisted)
Ccd	Notification	mock/experimentalMethod	Refuse(NotAllowlisted)
Tui	Request	model/list	Forward
Tui	Notification	model/list	Refuse(NotAllowlisted)
Ccd	Request	model/list	Refuse(NotAllowlisted)
Ccd	Notification	model/list	Refuse(NotAllowlisted)
Tui	Request	modelProvider/capabilities/read	Refuse(NotAllowlisted)
Tui	Notification	modelProvider/capabilities/read	Refuse(NotAllowlisted)
Ccd	Request	modelProvider/capabilities/read	Refuse(NotAllowlisted)
Ccd	Notification	modelProvider/capabilities/read	Refuse(NotAllowlisted)
Tui	Request	permissionProfile/list	Refuse(NotAllowlisted)
Tui	Notification	permissionProfile/list	Refuse(NotAllowlisted)
Ccd	Request	permissionProfile/list	Refuse(NotAllowlisted)
Ccd	Notification	permissionProfile/list	Refuse(NotAllowlisted)
Tui	Request	plugin/install	Refuse(NotAllowlisted)
Tui	Notification	plugin/install	Refuse(NotAllowlisted)
Ccd	Request	plugin/install	Refuse(NotAllowlisted)
Ccd	Notification	plugin/install	Refuse(NotAllowlisted)
Tui	Request	plugin/installed	Refuse(NotAllowlisted)
Tui	Notification	plugin/installed	Refuse(NotAllowlisted)
Ccd	Request	plugin/installed	Refuse(NotAllowlisted)
Ccd	Notification	plugin/installed	Refuse(NotAllowlisted)
Tui	Request	plugin/list	Forward
Tui	Notification	plugin/list	Refuse(NotAllowlisted)
Ccd	Request	plugin/list	Refuse(NotAllowlisted)
Ccd	Notification	plugin/list	Refuse(NotAllowlisted)
Tui	Request	plugin/read	Refuse(NotAllowlisted)
Tui	Notification	plugin/read	Refuse(NotAllowlisted)
Ccd	Request	plugin/read	Refuse(NotAllowlisted)
Ccd	Notification	plugin/read	Refuse(NotAllowlisted)
Tui	Request	plugin/search	Refuse(NotAllowlisted)
Tui	Notification	plugin/search	Refuse(NotAllowlisted)
Ccd	Request	plugin/search	Refuse(NotAllowlisted)
Ccd	Notification	plugin/search	Refuse(NotAllowlisted)
Tui	Request	plugin/share/checkout	Refuse(NotAllowlisted)
Tui	Notification	plugin/share/checkout	Refuse(NotAllowlisted)
Ccd	Request	plugin/share/checkout	Refuse(NotAllowlisted)
Ccd	Notification	plugin/share/checkout	Refuse(NotAllowlisted)
Tui	Request	plugin/share/delete	Refuse(NotAllowlisted)
Tui	Notification	plugin/share/delete	Refuse(NotAllowlisted)
Ccd	Request	plugin/share/delete	Refuse(NotAllowlisted)
Ccd	Notification	plugin/share/delete	Refuse(NotAllowlisted)
Tui	Request	plugin/share/list	Refuse(NotAllowlisted)
Tui	Notification	plugin/share/list	Refuse(NotAllowlisted)
Ccd	Request	plugin/share/list	Refuse(NotAllowlisted)
Ccd	Notification	plugin/share/list	Refuse(NotAllowlisted)
Tui	Request	plugin/share/save	Refuse(NotAllowlisted)
Tui	Notification	plugin/share/save	Refuse(NotAllowlisted)
Ccd	Request	plugin/share/save	Refuse(NotAllowlisted)
Ccd	Notification	plugin/share/save	Refuse(NotAllowlisted)
Tui	Request	plugin/share/updateTargets	Refuse(NotAllowlisted)
Tui	Notification	plugin/share/updateTargets	Refuse(NotAllowlisted)
Ccd	Request	plugin/share/updateTargets	Refuse(NotAllowlisted)
Ccd	Notification	plugin/share/updateTargets	Refuse(NotAllowlisted)
Tui	Request	plugin/skill/read	Refuse(NotAllowlisted)
Tui	Notification	plugin/skill/read	Refuse(NotAllowlisted)
Ccd	Request	plugin/skill/read	Refuse(NotAllowlisted)
Ccd	Notification	plugin/skill/read	Refuse(NotAllowlisted)
Tui	Request	plugin/uninstall	Refuse(NotAllowlisted)
Tui	Notification	plugin/uninstall	Refuse(NotAllowlisted)
Ccd	Request	plugin/uninstall	Refuse(NotAllowlisted)
Ccd	Notification	plugin/uninstall	Refuse(NotAllowlisted)
Tui	Request	process/kill	Refuse(NotAllowlisted)
Tui	Notification	process/kill	Refuse(NotAllowlisted)
Ccd	Request	process/kill	Refuse(NotAllowlisted)
Ccd	Notification	process/kill	Refuse(NotAllowlisted)
Tui	Request	process/resizePty	Refuse(NotAllowlisted)
Tui	Notification	process/resizePty	Refuse(NotAllowlisted)
Ccd	Request	process/resizePty	Refuse(NotAllowlisted)
Ccd	Notification	process/resizePty	Refuse(NotAllowlisted)
Tui	Request	process/spawn	Refuse(CodeExecBypass)
Tui	Notification	process/spawn	Refuse(NotAllowlisted)
Ccd	Request	process/spawn	Refuse(CodeExecBypass)
Ccd	Notification	process/spawn	Refuse(NotAllowlisted)
Tui	Request	process/writeStdin	Refuse(NotAllowlisted)
Tui	Notification	process/writeStdin	Refuse(NotAllowlisted)
Ccd	Request	process/writeStdin	Refuse(NotAllowlisted)
Ccd	Notification	process/writeStdin	Refuse(NotAllowlisted)
Tui	Request	remoteControl/client/list	Refuse(NotAllowlisted)
Tui	Notification	remoteControl/client/list	Refuse(NotAllowlisted)
Ccd	Request	remoteControl/client/list	Refuse(NotAllowlisted)
Ccd	Notification	remoteControl/client/list	Refuse(NotAllowlisted)
Tui	Request	remoteControl/client/revoke	Refuse(NotAllowlisted)
Tui	Notification	remoteControl/client/revoke	Refuse(NotAllowlisted)
Ccd	Request	remoteControl/client/revoke	Refuse(NotAllowlisted)
Ccd	Notification	remoteControl/client/revoke	Refuse(NotAllowlisted)
Tui	Request	remoteControl/disable	Refuse(NotAllowlisted)
Tui	Notification	remoteControl/disable	Refuse(NotAllowlisted)
Ccd	Request	remoteControl/disable	Refuse(NotAllowlisted)
Ccd	Notification	remoteControl/disable	Refuse(NotAllowlisted)
Tui	Request	remoteControl/enable	Refuse(NotAllowlisted)
Tui	Notification	remoteControl/enable	Refuse(NotAllowlisted)
Ccd	Request	remoteControl/enable	Refuse(NotAllowlisted)
Ccd	Notification	remoteControl/enable	Refuse(NotAllowlisted)
Tui	Request	remoteControl/pairing/start	Refuse(NotAllowlisted)
Tui	Notification	remoteControl/pairing/start	Refuse(NotAllowlisted)
Ccd	Request	remoteControl/pairing/start	Refuse(NotAllowlisted)
Ccd	Notification	remoteControl/pairing/start	Refuse(NotAllowlisted)
Tui	Request	remoteControl/pairing/status	Refuse(NotAllowlisted)
Tui	Notification	remoteControl/pairing/status	Refuse(NotAllowlisted)
Ccd	Request	remoteControl/pairing/status	Refuse(NotAllowlisted)
Ccd	Notification	remoteControl/pairing/status	Refuse(NotAllowlisted)
Tui	Request	remoteControl/status/read	Refuse(NotAllowlisted)
Tui	Notification	remoteControl/status/read	Refuse(NotAllowlisted)
Ccd	Request	remoteControl/status/read	Refuse(NotAllowlisted)
Ccd	Notification	remoteControl/status/read	Refuse(NotAllowlisted)
Tui	Request	review/start	Refuse(NotAllowlisted)
Tui	Notification	review/start	Refuse(NotAllowlisted)
Ccd	Request	review/start	Refuse(NotAllowlisted)
Ccd	Notification	review/start	Refuse(NotAllowlisted)
Tui	Request	skills/config/write	Refuse(NotAllowlisted)
Tui	Notification	skills/config/write	Refuse(NotAllowlisted)
Ccd	Request	skills/config/write	Refuse(NotAllowlisted)
Ccd	Notification	skills/config/write	Refuse(NotAllowlisted)
Tui	Request	skills/extraRoots/set	Refuse(NotAllowlisted)
Tui	Notification	skills/extraRoots/set	Refuse(NotAllowlisted)
Ccd	Request	skills/extraRoots/set	Refuse(NotAllowlisted)
Ccd	Notification	skills/extraRoots/set	Refuse(NotAllowlisted)
Tui	Request	skills/list	Forward
Tui	Notification	skills/list	Refuse(NotAllowlisted)
Ccd	Request	skills/list	Refuse(NotAllowlisted)
Ccd	Notification	skills/list	Refuse(NotAllowlisted)
Tui	Request	thread/approveGuardianDeniedAction	Refuse(NotAllowlisted)
Tui	Notification	thread/approveGuardianDeniedAction	Refuse(NotAllowlisted)
Ccd	Request	thread/approveGuardianDeniedAction	Refuse(NotAllowlisted)
Ccd	Notification	thread/approveGuardianDeniedAction	Refuse(NotAllowlisted)
Tui	Request	thread/archive	Refuse(NotAllowlisted)
Tui	Notification	thread/archive	Refuse(NotAllowlisted)
Ccd	Request	thread/archive	Refuse(NotAllowlisted)
Ccd	Notification	thread/archive	Refuse(NotAllowlisted)
Tui	Request	thread/backgroundTerminals/clean	Refuse(NotAllowlisted)
Tui	Notification	thread/backgroundTerminals/clean	Refuse(NotAllowlisted)
Ccd	Request	thread/backgroundTerminals/clean	Refuse(NotAllowlisted)
Ccd	Notification	thread/backgroundTerminals/clean	Refuse(NotAllowlisted)
Tui	Request	thread/backgroundTerminals/list	Refuse(NotAllowlisted)
Tui	Notification	thread/backgroundTerminals/list	Refuse(NotAllowlisted)
Ccd	Request	thread/backgroundTerminals/list	Refuse(NotAllowlisted)
Ccd	Notification	thread/backgroundTerminals/list	Refuse(NotAllowlisted)
Tui	Request	thread/backgroundTerminals/terminate	Refuse(NotAllowlisted)
Tui	Notification	thread/backgroundTerminals/terminate	Refuse(NotAllowlisted)
Ccd	Request	thread/backgroundTerminals/terminate	Refuse(NotAllowlisted)
Ccd	Notification	thread/backgroundTerminals/terminate	Refuse(NotAllowlisted)
Tui	Request	thread/compact/start	Refuse(NotAllowlisted)
Tui	Notification	thread/compact/start	Refuse(NotAllowlisted)
Ccd	Request	thread/compact/start	Refuse(NotAllowlisted)
Ccd	Notification	thread/compact/start	Refuse(NotAllowlisted)
Tui	Request	thread/decrement_elicitation	Refuse(NotAllowlisted)
Tui	Notification	thread/decrement_elicitation	Refuse(NotAllowlisted)
Ccd	Request	thread/decrement_elicitation	Refuse(NotAllowlisted)
Ccd	Notification	thread/decrement_elicitation	Refuse(NotAllowlisted)
Tui	Request	thread/delete	Refuse(NotAllowlisted)
Tui	Notification	thread/delete	Refuse(NotAllowlisted)
Ccd	Request	thread/delete	Refuse(NotAllowlisted)
Ccd	Notification	thread/delete	Refuse(NotAllowlisted)
Tui	Request	thread/fork	FingerprintAssert
Tui	Notification	thread/fork	Refuse(NotAllowlisted)
Ccd	Request	thread/fork	Refuse(RoleNotPermitted)
Ccd	Notification	thread/fork	Refuse(NotAllowlisted)
Tui	Request	thread/goal/clear	Refuse(NotAllowlisted)
Tui	Notification	thread/goal/clear	Refuse(NotAllowlisted)
Ccd	Request	thread/goal/clear	Refuse(NotAllowlisted)
Ccd	Notification	thread/goal/clear	Refuse(NotAllowlisted)
Tui	Request	thread/goal/get	Refuse(NotAllowlisted)
Tui	Notification	thread/goal/get	Refuse(NotAllowlisted)
Ccd	Request	thread/goal/get	Refuse(NotAllowlisted)
Ccd	Notification	thread/goal/get	Refuse(NotAllowlisted)
Tui	Request	thread/goal/set	Refuse(NotAllowlisted)
Tui	Notification	thread/goal/set	Refuse(NotAllowlisted)
Ccd	Request	thread/goal/set	Refuse(NotAllowlisted)
Ccd	Notification	thread/goal/set	Refuse(NotAllowlisted)
Tui	Request	thread/increment_elicitation	Refuse(NotAllowlisted)
Tui	Notification	thread/increment_elicitation	Refuse(NotAllowlisted)
Ccd	Request	thread/increment_elicitation	Refuse(NotAllowlisted)
Ccd	Notification	thread/increment_elicitation	Refuse(NotAllowlisted)
Tui	Request	thread/inject_items	Refuse(NotAllowlisted)
Tui	Notification	thread/inject_items	Refuse(NotAllowlisted)
Ccd	Request	thread/inject_items	Refuse(NotAllowlisted)
Ccd	Notification	thread/inject_items	Refuse(NotAllowlisted)
Tui	Request	thread/items/list	ReadSessionThread
Tui	Notification	thread/items/list	Refuse(NotAllowlisted)
Ccd	Request	thread/items/list	ReadSessionThread
Ccd	Notification	thread/items/list	Refuse(NotAllowlisted)
Tui	Request	thread/list	Refuse(NotAllowlisted)
Tui	Notification	thread/list	Refuse(NotAllowlisted)
Ccd	Request	thread/list	Refuse(NotAllowlisted)
Ccd	Notification	thread/list	Refuse(NotAllowlisted)
Tui	Request	thread/loaded/list	Forward
Tui	Notification	thread/loaded/list	Refuse(NotAllowlisted)
Ccd	Request	thread/loaded/list	Forward
Ccd	Notification	thread/loaded/list	Refuse(NotAllowlisted)
Tui	Request	thread/memoryMode/set	Refuse(NotAllowlisted)
Tui	Notification	thread/memoryMode/set	Refuse(NotAllowlisted)
Ccd	Request	thread/memoryMode/set	Refuse(NotAllowlisted)
Ccd	Notification	thread/memoryMode/set	Refuse(NotAllowlisted)
Tui	Request	thread/metadata/update	Refuse(NotAllowlisted)
Tui	Notification	thread/metadata/update	Refuse(NotAllowlisted)
Ccd	Request	thread/metadata/update	Refuse(NotAllowlisted)
Ccd	Notification	thread/metadata/update	Refuse(NotAllowlisted)
Tui	Request	thread/name/set	Refuse(NotAllowlisted)
Tui	Notification	thread/name/set	Refuse(NotAllowlisted)
Ccd	Request	thread/name/set	Refuse(NotAllowlisted)
Ccd	Notification	thread/name/set	Refuse(NotAllowlisted)
Tui	Request	thread/read	ReadSessionThread
Tui	Notification	thread/read	Refuse(NotAllowlisted)
Ccd	Request	thread/read	ReadSessionThread
Ccd	Notification	thread/read	Refuse(NotAllowlisted)
Tui	Request	thread/realtime/appendAudio	Refuse(NotAllowlisted)
Tui	Notification	thread/realtime/appendAudio	Refuse(NotAllowlisted)
Ccd	Request	thread/realtime/appendAudio	Refuse(NotAllowlisted)
Ccd	Notification	thread/realtime/appendAudio	Refuse(NotAllowlisted)
Tui	Request	thread/realtime/appendSpeech	Refuse(NotAllowlisted)
Tui	Notification	thread/realtime/appendSpeech	Refuse(NotAllowlisted)
Ccd	Request	thread/realtime/appendSpeech	Refuse(NotAllowlisted)
